id,gemini_recall,qwq_recall,delta,gemini_hit,qwq_hit,n_gt,qwq_n_gt,same_gt_steps,hit_step_agree,hit_step_disagree,gemini_pred_steps,qwq_pred_steps,gemini_eff,qwq_eff
PMC11363880,0.375,0.25,-0.125,3,2,8,8,False,0,0,6,9,1.0,0.8888888888888888
PMC11363995,0.8888888888888888,1.0,0.11111111111111116,8,9,9,9,False,0,0,8,10,1.0,0.9
PMC11364916,0.125,0.1,-0.024999999999999994,1,1,8,10,False,0,0,5,10,0.8,0.4
PMC11365461,0.5,0.8571428571428571,0.3571428571428571,3,6,6,7,False,0,0,7,10,1.0,1.0
PMC11366209,0.13333333333333333,1.0,0.8666666666666667,2,9,15,9,False,0,0,5,10,1.0,0.5
PMC11366281,0.5,0.6,0.09999999999999998,2,3,4,5,False,0,0,5,8,1.0,0.875
PMC11366406,0.2857142857142857,1.0,0.7142857142857143,2,8,7,8,False,0,0,6,7,1.0,0.8571428571428571
PMC11366418,0.4,1.0,0.6,2,10,5,10,False,0,0,6,10,1.0,0.4
PMC11367131,0.375,1.0,0.625,3,7,8,7,False,0,0,5,10,1.0,1.0
PMC11367480,0.7,0.5714285714285714,-0.12857142857142856,7,4,10,7,False,0,0,5,10,0.8,0.6
PMC11367528,0.875,1.0,0.125,7,8,8,8,False,0,0,5,10,0.8,0.9
PMC11368574,0.7142857142857143,0.8571428571428571,0.1428571428571428,5,6,7,7,False,0,0,6,10,0.6666666666666666,0.4
PMC11368578,0.7,1.0,0.30000000000000004,7,8,10,8,False,0,0,5,10,1.0,0.9
PMC11368706,0.6666666666666666,1.0,0.33333333333333337,6,8,9,8,False,0,0,7,10,1.0,0.9
PMC11368709,0.375,0.8333333333333334,0.45833333333333337,3,5,8,6,False,0,0,7,8,1.0,1.0
PMC11370703,0.8571428571428571,0.8571428571428571,0.0,6,6,7,7,True,7,0,5,8,1.0,0.375
PMC11372572,0.1,1.0,0.9,1,10,10,10,False,0,0,6,10,1.0,0.6
PMC11372579,0.375,0.875,0.5,3,7,8,8,False,0,0,5,10,1.0,0.8
PMC11372783,0.3333333333333333,0.7777777777777778,0.4444444444444445,2,7,6,9,False,0,0,8,9,1.0,0.8888888888888888
PMC11373470,0.16666666666666666,0.8571428571428571,0.6904761904761905,1,6,6,7,False,0,0,6,10,1.0,0.8
PMC11374134,0.5714285714285714,0.875,0.3035714285714286,4,7,7,8,False,0,0,6,10,1.0,0.9
PMC11374374,0.5714285714285714,1.0,0.4285714285714286,4,9,7,9,False,0,0,6,10,0.8333333333333334,0.8
PMC11375620,0.0,1.0,1.0,0,9,9,9,False,0,0,6,10,1.0,0.4
PMC11375912,0.2,1.0,0.8,1,5,5,5,False,0,0,5,10,1.0,0.9
PMC11375955,0.25,0.125,-0.125,2,1,8,8,True,5,3,7,10,1.0,0.4
PMC11378089,0.0,0.0,0.0,0,0,5,5,False,0,0,6,10,1.0,0.6
PMC11378093,0.625,0.875,0.25,5,7,8,8,False,0,0,8,10,0.75,0.7
PMC11378097,0.0,0.75,0.75,0,6,10,8,False,0,0,8,10,1.0,0.9
PMC11378199,0.42857142857142855,0.25,-0.17857142857142855,3,1,7,4,False,0,0,5,10,1.0,1.0
PMC11379423,0.125,1.0,0.875,1,8,8,8,False,0,0,7,10,1.0,0.9
PMC11380166,0.0,0.5,0.5,0,4,7,8,False,0,0,6,10,1.0,0.6
PMC11383490,0.4,0.3333333333333333,-0.06666666666666671,4,3,10,9,False,0,0,7,7,1.0,0.5714285714285714
PMC11384651,0.25,0.8,0.55,2,8,8,10,False,0,0,8,10,1.0,0.9
PMC11385026,0.4444444444444444,1.0,0.5555555555555556,4,9,9,9,False,0,0,6,10,0.8333333333333334,0.1
PMC11385072,0.6,0.8,0.20000000000000007,3,4,5,5,False,0,0,7,6,0.8571428571428571,0.6666666666666666
PMC11385788,0.2857142857142857,0.8888888888888888,0.6031746031746031,2,8,7,9,False,0,0,10,9,0.8,0.8888888888888888
PMC11386941,0.3333333333333333,1.0,0.6666666666666667,3,10,9,10,False,0,0,7,10,1.0,0.8
PMC11387543,0.2,0.8,0.6000000000000001,1,4,5,5,False,0,0,6,10,1.0,0.4
PMC11387768,0.1111111111111111,0.25,0.1388888888888889,1,1,9,4,False,0,0,10,10,1.0,0.8
PMC11388016,0.1,0.0,-0.1,1,0,10,10,False,0,0,7,8,1.0,1.0
PMC11388041,0.14285714285714285,1.0,0.8571428571428572,1,9,7,9,False,0,0,7,10,1.0,1.0
PMC11388045,0.6666666666666666,0.8,0.13333333333333341,4,4,6,5,False,0,0,5,10,1.0,0.8
PMC11388709,0.5,1.0,0.5,2,4,4,4,True,2,2,5,10,1.0,1.0
PMC11390360,0.0,0.8888888888888888,0.8888888888888888,0,8,6,9,False,0,0,6,10,1.0,0.2
PMC11391175,0.5,0.875,0.375,3,7,6,8,False,0,0,5,10,1.0,0.6
PMC11391400,0.0,1.0,1.0,0,8,7,8,False,0,0,6,10,1.0,0.9
PMC11392029,0.125,0.5,0.375,1,5,8,10,False,0,0,6,10,1.0,0.6
PMC11392504,0.6,1.0,0.4,6,9,10,9,False,0,0,5,10,1.0,0.8
PMC11392505,0.2,0.0,-0.2,2,0,10,7,False,0,0,9,10,1.0,0.9
PMC11392844,0.5,0.8333333333333334,0.33333333333333337,3,5,6,6,False,0,0,5,9,1.0,0.8888888888888888
PMC11393567,0.125,0.875,0.75,1,7,8,8,False,0,0,7,10,0.8571428571428571,0.8
PMC11393570,0.2,1.0,0.8,2,9,10,9,False,0,0,7,10,1.0,0.7
PMC11393571,0.42857142857142855,0.25,-0.17857142857142855,3,2,7,8,False,0,0,8,10,1.0,0.7
PMC11394467,0.0,1.0,1.0,0,8,5,8,False,0,0,6,10,1.0,0.9
PMC11395317,0.0,0.125,0.125,0,1,6,8,False,0,0,5,10,1.0,0.7
PMC11395475,0.6,0.6666666666666666,0.06666666666666665,3,4,5,6,False,0,0,9,10,0.8888888888888888,0.7
PMC11395583,0.8,1.0,0.19999999999999996,4,10,5,10,False,0,0,10,10,0.9,0.4
PMC11396144,0.5714285714285714,0.5714285714285714,0.0,4,4,7,7,False,0,0,5,10,1.0,0.6
PMC11396201,0.0,0.5,0.5,0,3,6,6,False,0,0,7,10,1.0,0.8
PMC11398731,0.4,1.0,0.6,2,8,5,8,False,0,0,6,10,1.0,0.9
PMC11398847,0.14285714285714285,0.8333333333333334,0.6904761904761905,1,5,7,6,False,0,0,10,10,0.9,0.8
PMC11399793,0.5714285714285714,1.0,0.4285714285714286,4,7,7,7,False,0,0,10,10,1.0,0.8
PMC11399814,0.1111111111111111,0.6666666666666666,0.5555555555555556,1,6,9,9,False,0,0,7,10,0.8571428571428571,0.8
PMC11401066,0.125,0.4,0.275,1,4,8,10,False,0,0,6,10,0.8333333333333334,1.0
PMC11401631,0.8571428571428571,1.0,0.1428571428571429,6,7,7,7,False,0,0,7,8,1.0,0.875
PMC11402115,0.5,1.0,0.5,4,8,8,8,False,0,0,7,10,1.0,0.3
PMC11402274,0.2,1.0,0.8,2,7,10,7,False,0,0,8,10,0.875,0.8
PMC11402539,0.5,1.0,0.5,4,8,8,8,False,0,0,6,10,1.0,0.6
PMC11402914,0.5714285714285714,0.0,-0.5714285714285714,4,0,7,7,False,0,0,6,10,0.6666666666666666,0.1
PMC11402916,0.5,1.0,0.5,3,6,6,6,False,0,0,9,8,1.0,1.0
PMC11403415,0.0,1.0,1.0,0,6,7,6,False,0,0,8,10,1.0,0.6
PMC11403891,0.2857142857142857,0.7142857142857143,0.4285714285714286,2,5,7,7,False,0,0,7,10,1.0,0.5
PMC11403897,0.625,1.0,0.375,5,9,8,9,False,0,0,6,10,1.0,0.7
PMC11403908,0.3333333333333333,1.0,0.6666666666666667,2,9,6,9,False,0,0,7,10,1.0,0.7
PMC11405070,0.14285714285714285,0.14285714285714285,0.0,1,1,7,7,True,5,2,6,10,1.0,0.6
PMC11405080,0.5,0.5,0.0,4,4,8,8,False,0,0,8,10,1.0,0.6
PMC11406332,0.0,0.5714285714285714,0.5714285714285714,0,4,8,7,False,0,0,7,10,0.8571428571428571,0.5
PMC11406342,0.125,0.9,0.775,1,9,8,10,False,0,0,8,7,0.875,0.8571428571428571
PMC11406351,0.0,0.8333333333333334,0.8333333333333334,0,5,7,6,False,0,0,7,10,1.0,0.2
PMC11406356,0.42857142857142855,1.0,0.5714285714285714,3,9,7,9,False,0,0,8,10,1.0,0.7
PMC11406358,0.16666666666666666,0.16666666666666666,0.0,1,1,6,6,False,0,0,6,10,0.8333333333333334,0.8
PMC11406475,0.2,0.4,0.2,2,4,10,10,False,0,0,8,10,0.875,0.8
PMC11406722,0.5714285714285714,0.8888888888888888,0.31746031746031744,4,8,7,9,False,0,0,9,10,1.0,0.3
PMC11406798,0.3333333333333333,0.0,-0.3333333333333333,2,0,6,6,False,0,0,7,10,0.7142857142857143,1.0
PMC11407686,0.2222222222222222,1.0,0.7777777777777778,2,9,9,9,False,0,0,9,10,0.8888888888888888,1.0
PMC11407790,0.3333333333333333,1.0,0.6666666666666667,2,6,6,6,False,0,0,5,10,0.8,0.8
PMC11408169,0.5,1.0,0.5,3,6,6,6,False,0,0,7,10,0.8571428571428571,0.9
PMC11408896,0.375,0.875,0.5,3,7,8,8,False,0,0,8,10,1.0,0.8
PMC11409008,0.0,1.0,1.0,0,8,5,8,False,0,0,6,10,1.0,0.7
PMC11410420,0.6,1.0,0.4,3,7,5,7,False,0,0,6,9,1.0,0.6666666666666666
PMC11410430,0.375,1.0,0.625,3,9,8,9,False,0,0,7,8,1.0,0.875
PMC11411574,0.2,1.0,0.8,2,10,10,10,False,0,0,6,10,1.0,0.8
PMC11412278,0.5,0.9,0.4,2,9,4,10,False,0,0,8,9,0.75,0.8888888888888888
PMC11412386,0.6,0.8,0.20000000000000007,6,8,10,10,False,0,0,6,10,1.0,0.9
PMC11412893,0.0,0.9,0.9,0,9,8,10,False,0,0,7,10,1.0,0.5
PMC11413548,1.0,1.0,0.0,6,6,6,6,False,0,0,8,10,1.0,0.8
PMC11413611,0.6,0.0,-0.6,3,0,5,6,False,0,0,5,10,1.0,0.9
PMC11413743,0.3333333333333333,0.8571428571428571,0.5238095238095237,2,6,6,7,False,0,0,6,10,0.8333333333333334,1.0
PMC11414464,0.0,0.25,0.25,0,2,8,8,True,6,2,5,10,1.0,0.7
PMC11414548,0.1111111111111111,0.5555555555555556,0.4444444444444445,1,5,9,9,False,0,0,6,10,0.8333333333333334,0.8
PMC11414554,1.0,1.0,0.0,5,5,5,5,False,0,0,7,8,1.0,0.5
PMC11414668,0.5,0.375,-0.125,4,3,8,8,True,5,3,5,10,0.8,1.0
PMC11415024,0.3,1.0,0.7,3,10,10,10,False,0,0,5,10,1.0,0.9
PMC11415134,0.2,1.0,0.8,1,10,5,10,False,0,0,9,10,0.7777777777777778,0.9
PMC11415135,0.6,0.625,0.025000000000000022,6,5,10,8,False,0,0,7,10,0.8571428571428571,0.7
PMC11415138,0.8,0.8333333333333334,0.033333333333333326,4,5,5,6,False,0,0,7,9,0.42857142857142855,0.6666666666666666
PMC11415140,0.6,0.2,-0.39999999999999997,3,1,5,5,True,3,2,6,10,1.0,1.0
PMC11415225,0.1111111111111111,0.4,0.2888888888888889,1,4,9,10,False,0,0,7,10,0.8571428571428571,0.8
PMC11415612,0.0,0.875,0.875,0,7,8,8,False,0,0,8,10,1.0,0.8
PMC11415833,1.0,1.0,0.0,4,4,4,4,False,0,0,8,10,1.0,0.8
PMC11415877,0.125,0.375,0.25,1,3,8,8,True,4,4,7,10,1.0,1.0
PMC11416046,0.5555555555555556,1.0,0.4444444444444444,5,8,9,8,False,0,0,5,10,1.0,0.9
PMC11416047,0.16666666666666666,1.0,0.8333333333333334,1,6,6,6,False,0,0,8,9,0.875,0.8888888888888888
PMC11416184,0.0,0.25,0.25,0,1,4,4,False,0,0,7,10,0.8571428571428571,0.3
PMC11416190,0.8333333333333334,1.0,0.16666666666666663,5,6,6,6,False,0,0,6,10,0.8333333333333334,0.5
PMC11416194,0.3,0.6666666666666666,0.36666666666666664,3,6,10,9,False,0,0,5,10,1.0,1.0
PMC11416197,0.3,1.0,0.7,3,5,10,5,False,0,0,6,10,1.0,0.6
PMC11416198,0.09090909090909091,0.6,0.509090909090909,1,6,11,10,False,0,0,5,10,1.0,0.6
PMC11416202,0.5,0.0,-0.5,4,0,8,8,False,0,0,7,10,0.8571428571428571,0.9
PMC11416352,0.0,0.875,0.875,0,7,6,8,False,0,0,5,6,1.0,1.0
PMC11416458,0.42857142857142855,0.5714285714285714,0.14285714285714285,3,4,7,7,False,0,0,8,7,1.0,1.0
PMC11416466,0.0,0.8888888888888888,0.8888888888888888,0,8,9,9,False,0,0,7,10,1.0,0.7
PMC11416602,0.0,1.0,1.0,0,6,5,6,False,0,0,6,9,1.0,1.0
PMC11416630,0.25,0.5,0.25,1,3,4,6,False,0,0,8,10,0.875,0.7
PMC11416805,0.2,0.6666666666666666,0.4666666666666666,2,6,10,9,False,0,0,6,10,0.8333333333333334,0.9
PMC11416827,0.14285714285714285,0.3333333333333333,0.19047619047619047,1,1,7,3,False,0,0,6,10,0.8333333333333334,0.7
PMC11417497,0.0,1.0,1.0,0,8,4,8,False,0,0,6,10,0.8333333333333334,0.6
PMC11417591,0.2,0.8333333333333334,0.6333333333333333,2,5,10,6,False,0,0,8,10,1.0,0.8
PMC11417919,1.0,0.25,-0.75,6,1,6,4,False,0,0,8,10,0.875,0.9
PMC11418093,0.8,0.2,-0.6000000000000001,4,1,5,5,False,0,0,6,10,1.0,0.2
PMC11418098,0.375,0.0,-0.375,3,0,8,8,True,5,3,8,10,1.0,0.9
PMC11418106,0.0,0.6666666666666666,0.6666666666666666,0,4,6,6,False,0,0,6,10,0.8333333333333334,1.0
PMC11418109,0.5,0.8333333333333334,0.33333333333333337,3,5,6,6,False,0,0,6,10,1.0,1.0
PMC11418114,0.4,1.0,0.6,2,8,5,8,False,0,0,6,10,0.8333333333333334,0.9
PMC11418156,0.5,1.0,0.5,3,6,6,6,False,0,0,6,9,1.0,0.8888888888888888
PMC11418237,0.3333333333333333,1.0,0.6666666666666667,2,6,6,6,False,0,0,6,10,1.0,0.8
PMC11419314,0.2222222222222222,0.7777777777777778,0.5555555555555556,2,7,9,9,False,0,0,5,10,1.0,0.8
PMC11419318,0.7142857142857143,1.0,0.2857142857142857,5,7,7,7,False,0,0,7,10,1.0,0.7
PMC11419586,0.5,0.8333333333333334,0.33333333333333337,3,5,6,6,False,0,0,7,10,1.0,0.4
PMC11419597,0.125,0.875,0.75,1,7,8,8,False,0,0,7,10,1.0,0.8
PMC11419775,0.2857142857142857,0.6,0.3142857142857143,2,3,7,5,False,0,0,5,8,1.0,0.75
PMC11420438,0.2,0.125,-0.07500000000000001,1,1,5,8,False,0,0,7,10,1.0,0.8
PMC11420455,0.42857142857142855,0.14285714285714285,-0.2857142857142857,3,1,7,7,True,3,4,7,10,1.0,1.0
PMC11420636,0.2857142857142857,0.875,0.5892857142857143,2,7,7,8,False,0,0,5,10,1.0,0.4
PMC11421233,0.0,0.8571428571428571,0.8571428571428571,0,6,7,7,False,0,0,7,9,1.0,0.8888888888888888
PMC11421273,0.7142857142857143,1.0,0.2857142857142857,5,7,7,7,False,0,0,6,9,1.0,0.5555555555555556
PMC11421276,0.2857142857142857,0.8333333333333334,0.5476190476190477,2,5,7,6,False,0,0,8,10,1.0,0.8
PMC11421287,0.3333333333333333,1.0,0.6666666666666667,2,7,6,7,False,0,0,5,10,0.8,0.9
PMC11421474,0.5,0.2857142857142857,-0.2142857142857143,4,2,8,7,False,0,0,5,10,1.0,0.7
PMC11421877,0.0,1.0,1.0,0,8,9,8,False,0,0,7,10,1.0,1.0
PMC11422092,0.2,1.0,0.8,1,10,5,10,False,0,0,7,10,1.0,0.9
PMC11422786,0.2857142857142857,0.8333333333333334,0.5476190476190477,2,5,7,6,False,0,0,5,10,1.0,0.4
PMC11424232,0.0,1.0,1.0,0,7,7,7,False,0,0,9,10,1.0,0.9
PMC11424545,0.2857142857142857,1.0,0.7142857142857143,2,8,7,8,False,0,0,6,10,0.8333333333333334,0.9
PMC11424753,0.0,0.0,0.0,0,0,8,8,True,8,0,10,10,1.0,0.8
PMC11424757,0.4,0.3333333333333333,-0.06666666666666671,2,3,5,9,False,0,0,7,10,0.8571428571428571,0.8
PMC11424762,0.4,1.0,0.6,2,5,5,5,True,2,3,6,10,1.0,0.9
PMC11424768,1.0,1.0,0.0,7,8,7,8,False,0,0,5,10,1.0,1.0
PMC11424893,0.0,0.8,0.8,0,4,6,5,False,0,0,5,8,1.0,1.0
PMC11424902,0.1,1.0,0.9,1,9,10,9,False,0,0,9,10,1.0,0.7
PMC11424907,0.16666666666666666,1.0,0.8333333333333334,1,8,6,8,False,0,0,5,10,1.0,0.9
PMC11424908,0.5,0.8571428571428571,0.3571428571428571,3,6,6,7,False,0,0,6,10,1.0,0.8
PMC11424909,0.0,0.7,0.7,0,7,11,10,False,0,0,6,10,0.8333333333333334,0.9
PMC11424937,0.2,1.0,0.8,1,10,5,10,False,0,0,5,10,1.0,0.9
PMC11425150,0.14285714285714285,0.7142857142857143,0.5714285714285714,1,5,7,7,False,0,0,9,10,1.0,0.7
PMC11425151,0.3333333333333333,1.0,0.6666666666666667,2,6,6,6,False,0,0,7,9,1.0,0.8888888888888888
PMC11426170,0.6,1.0,0.4,3,5,5,5,False,0,0,6,10,1.0,1.0
PMC11426307,0.2857142857142857,1.0,0.7142857142857143,2,7,7,7,False,0,0,10,10,1.0,0.8
PMC11426923,0.16666666666666666,0.5714285714285714,0.40476190476190477,1,4,6,7,False,0,0,6,9,1.0,1.0
PMC11427117,0.2,1.0,0.8,1,7,5,7,False,0,0,7,10,1.0,0.7
PMC11427962,0.5,1.0,0.5,2,8,4,8,False,0,0,6,6,1.0,0.8333333333333334
PMC11428661,0.16666666666666666,0.3333333333333333,0.16666666666666666,1,2,6,6,False,0,0,8,10,0.75,0.7
PMC11428674,0.0,0.8,0.8,0,4,5,5,False,0,0,7,10,1.0,1.0
PMC11431129,0.5,0.8571428571428571,0.3571428571428571,5,6,10,7,False,0,0,10,10,0.9,0.3
PMC11431244,0.0,0.8333333333333334,0.8333333333333334,0,5,6,6,False,0,0,5,10,1.0,0.9
PMC11431636,0.0,0.8571428571428571,0.8571428571428571,0,6,9,7,False,0,0,7,10,1.0,0.9
PMC11432985,0.0,0.9,0.9,0,9,9,10,False,0,0,5,10,1.0,1.0
PMC11433264,0.0,0.6,0.6,0,6,10,10,False,0,0,5,8,0.8,0.625
PMC11433704,0.4444444444444444,0.8,0.3555555555555556,4,8,9,10,False,0,0,8,10,1.0,0.8
PMC11433725,0.3333333333333333,1.0,0.6666666666666667,2,8,6,8,False,0,0,7,10,1.0,0.8
PMC11433750,0.375,1.0,0.625,3,9,8,9,False,0,0,5,10,1.0,0.4
PMC11434546,0.4,1.0,0.6,2,8,5,8,False,0,0,6,10,1.0,0.6
PMC11434686,0.16666666666666666,1.0,0.8333333333333334,1,7,6,7,False,0,0,5,10,1.0,0.5
PMC11436073,0.2857142857142857,1.0,0.7142857142857143,2,6,7,6,False,0,0,7,9,1.0,0.8888888888888888
PMC11436284,0.42857142857142855,1.0,0.5714285714285714,3,8,7,8,False,0,0,7,10,1.0,0.8
PMC11437605,0.5714285714285714,0.625,0.0535714285714286,4,5,7,8,False,0,0,5,10,0.8,0.8
PMC11437612,0.2222222222222222,0.8888888888888888,0.6666666666666666,2,8,9,9,False,0,0,10,10,1.0,0.7
PMC11437698,0.0,0.6,0.6,0,3,5,5,False,0,0,6,10,1.0,0.8
PMC11437740,0.25,0.3333333333333333,0.08333333333333331,2,2,8,6,False,0,0,5,10,1.0,0.8
PMC11438519,0.0,0.8888888888888888,0.8888888888888888,0,8,6,9,False,0,0,7,10,1.0,0.8
PMC11438525,0.6666666666666666,0.875,0.20833333333333337,4,7,6,8,False,0,0,5,10,1.0,1.0
PMC11438534,0.0,0.0,0.0,0,0,4,4,True,4,0,8,10,1.0,0.9
PMC11439192,0.5,1.0,0.5,3,7,6,7,False,0,0,8,10,0.875,0.8
PMC11439408,0.5,0.42857142857142855,-0.07142857142857145,3,3,6,7,False,0,0,7,10,1.0,0.7
PMC11439475,0.5,1.0,0.5,3,6,6,6,False,0,0,6,10,1.0,0.6
PMC11439479,0.14285714285714285,0.2857142857142857,0.14285714285714285,1,2,7,7,True,6,1,7,10,1.0,0.9
PMC11439974,0.2,0.6,0.39999999999999997,2,6,10,10,True,4,6,6,10,0.8333333333333334,0.5
PMC11441234,0.75,0.8888888888888888,0.13888888888888884,6,8,8,9,False,0,0,5,10,1.0,0.3
PMC11441832,0.42857142857142855,1.0,0.5714285714285714,3,7,7,7,False,0,0,7,8,0.7142857142857143,1.0
PMC11441845,0.7,0.8,0.10000000000000009,7,8,10,10,False,0,0,7,10,0.7142857142857143,0.7
PMC11443899,0.42857142857142855,0.875,0.44642857142857145,3,7,7,8,False,0,0,7,10,1.0,1.0
PMC11444548,0.0,0.625,0.625,0,5,9,8,False,0,0,6,10,1.0,0.0
PMC11444798,0.25,0.875,0.625,2,7,8,8,False,0,0,6,10,1.0,0.9
PMC11444809,0.5714285714285714,1.0,0.4285714285714286,4,6,7,6,False,0,0,7,10,1.0,0.8
PMC11445596,1.0,1.0,0.0,6,6,6,6,False,0,0,9,10,0.7777777777777778,0.9
PMC11445599,0.16666666666666666,0.0,-0.16666666666666666,1,0,6,6,True,5,1,6,10,0.8333333333333334,1.0
PMC11445712,0.16666666666666666,0.8,0.6333333333333334,1,4,6,5,False,0,0,7,10,1.0,0.9
PMC11446485,0.16666666666666666,0.6,0.43333333333333335,1,3,6,5,False,0,0,5,10,1.0,0.9
PMC11446486,0.125,1.0,0.875,1,8,8,8,False,0,0,7,10,1.0,0.1
PMC11446496,0.3333333333333333,0.8571428571428571,0.5238095238095237,3,6,9,7,False,0,0,6,8,1.0,0.875
PMC11446498,0.1111111111111111,0.3333333333333333,0.2222222222222222,1,3,9,9,False,0,0,6,10,1.0,0.3
PMC11446622,0.4444444444444444,1.0,0.5555555555555556,4,6,9,6,False,0,0,8,9,0.875,1.0
PMC11447301,0.2,0.6,0.39999999999999997,1,3,5,5,False,0,0,6,9,1.0,0.8888888888888888
PMC11447305,0.2,0.6,0.39999999999999997,1,3,5,5,False,0,0,7,10,1.0,0.7
PMC11447345,0.16666666666666666,0.0,-0.16666666666666666,1,0,6,6,True,5,1,8,8,0.875,0.875
PMC11447576,0.5,0.875,0.375,2,7,4,8,False,0,0,7,10,1.0,0.9
PMC11447945,0.2,0.9,0.7,2,9,10,10,False,0,0,8,10,1.0,1.0
PMC11448466,0.4117647058823529,0.2857142857142857,-0.12605042016806722,7,2,17,7,False,0,0,7,10,1.0,0.2
PMC11449378,0.125,0.4444444444444444,0.3194444444444444,1,4,8,9,False,0,0,7,10,1.0,0.8
PMC11450233,0.0,0.2222222222222222,0.2222222222222222,0,2,9,9,False,0,0,7,10,0.5714285714285714,1.0
PMC11450494,0.4444444444444444,0.875,0.4305555555555556,4,7,9,8,False,0,0,5,9,0.8,0.8888888888888888
PMC11452076,0.0,1.0,1.0,0,7,6,7,False,0,0,8,10,1.0,0.8
PMC11452711,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,4,6,6,False,0,0,7,10,0.7142857142857143,0.5
PMC11453173,0.14285714285714285,1.0,0.8571428571428572,1,7,7,7,False,0,0,8,10,1.0,0.5
PMC11453286,0.0,0.125,0.125,0,1,8,8,True,7,1,10,10,1.0,0.3
PMC11455270,0.2857142857142857,0.42857142857142855,0.14285714285714285,2,3,7,7,False,0,0,7,10,0.8571428571428571,0.6
PMC11455275,0.2857142857142857,1.0,0.7142857142857143,2,6,7,6,False,0,0,6,10,1.0,0.9
PMC11456147,0.0,0.42857142857142855,0.42857142857142855,0,3,10,7,False,0,0,7,10,1.0,0.7
PMC11456260,0.5,0.0,-0.5,4,0,8,8,False,0,0,7,9,1.0,1.0
PMC11456304,0.16666666666666666,0.8571428571428571,0.6904761904761905,1,6,6,7,False,0,0,8,10,1.0,0.9
PMC11456410,0.5,0.7777777777777778,0.2777777777777778,2,7,4,9,False,0,0,5,9,1.0,0.8888888888888888
PMC11456782,0.2,0.8,0.6000000000000001,1,4,5,5,False,0,0,9,10,1.0,1.0
